player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,opp_concede_pot,team_pot,long_form
171,Jorgensen,Defender,2.1,1,1.1,31,1.375,0.75,15,16,3,2.833333333,0,7,0,0,0
218,Gomez,Defender,4,5,1,31,0.625,1.0625,3,11,4.333333333,3.033333333,0,6,0,0,0
219,Matip,Defender,4.6,6,1.4,31,0.625,1.0625,3,11,3,1.533333333,0,1,0,0,0
221,Sakho,Defender,4.2,7,2.8,31,1.5625,0.9375,16,15,3,2.5,0,1,0,0,0
222,Milner,Defender,3.8,6,2.2,31,0.625,1.0625,3,11,2.666666667,3.366666667,0,1,0,0,0
311,van Dijk,Defender,5.9,6,0.1,31,0.625,1.0625,3,11,4.333333333,3.166666667,0,1,0,0,0
330,Shawcross,Defender,1.4,0,1.4,31,1.5625,0.75,19,9,1,2,0,2,0,0,0
335,Johnson,Defender,0.9,1,0.1,31,1.5625,0.75,19,9,0.6666666667,3.866666667,0,1,0,0,0
400,Prödl,Defender,2.2,0,2.2,31,1.8125,2.375,11,3,2.333333333,1.4,0,1,0,0,0
401,Holebas,Defender,2.3,0,2.3,31,1.8125,2.375,11,3,2.666666667,4.533333333,0,0,0,0,0
402,Britos,Defender,0.2,0,0.2,31,1.8125,2.375,11,3,0.6666666667,0.9666666667,0,1,0,0,0
404,Janmaat,Defender,2.4,1,1.4,31,1.8125,2.375,11,3,2.666666667,2.433333333,0,1,0,0,0
405,Mariappa,Defender,1.6,0,1.6,31,1.8125,2.375,11,3,2,2.266666667,0,1,0,0,0
407,Femenía Far,Defender,-0.2,0,0.2,31,1.8125,2.375,11,3,0.6666666667,3.033333333,0,1,0,0,0
422,Nyom,Defender,1.2,1,0.2,31,1.5625,1.4375,20,10,0.6666666667,2.6,0,0,0,0,0
423,Evans,Defender,2.9,6,3.1,31,1.5625,1.4375,20,10,2.666666667,2.266666667,0,2,0,0,0
424,Dawson,Defender,1,0,1,31,1.5625,1.4375,20,10,0.6666666667,3.3,0,0,0,0,0
462,Malone,Defender,2,1,1,31,1.375,0.75,15,16,2.666666667,3.066666667,0,6,0,0,0
468,Hegazi,Defender,1.4,1,0.4,31,1.5625,1.4375,20,10,1,3.2,0,0,0,0,0
475,Robertson,Defender,7.6,11,3.4,31,0.625,1.0625,3,11,6,4.5,0,1,0,0,0
521,Hadergjonaj,Defender,1.4,1,0.4,31,1.375,0.75,15,16,3.333333333,6.433333333,0,8,0,0,0
599,Stafylidis,Defender,1.6,1,0.6,31,1.5625,0.75,19,9,1,2.466666667,0,1,0,0,0
7,Bellerín,Defender,4.3,6,1.7,31,1.0625,0.75,6,19,2.666666667,2.766666667,0,1,0,0,0
10,Monreal,Defender,4.1,6,1.9,32,1.0625,0.75,6,19,3,4.166666667,0,2,0,0,0
12,Mustafi,Defender,4.8,8,3.2,32,1.0625,0.75,6,19,7,5.866666667,0,12,0,0,0
33,Cook,Defender,0.6,1,0.4,32,1.5625,1.5,10,11,1,4.3,0,2,0,0,0
34,Daniels,Defender,1.1,1,0.1,32,1.5625,1.5,10,11,2.333333333,3.8,0,5,0,0,0
38,Aké,Defender,2,4,2,32,1.5625,1.5,10,11,2,3.233333333,0,2,0,0,0
55,Dunk,Defender,3.3,1,2.3,32,1.4375,1.625,13,8,3.333333333,5.6,0,1,0,0,0
56,Duffy,Defender,2.8,1,1.8,32,1.4375,1.625,13,8,2.666666667,4.1,0,1,0,0,0
59,Bong,Defender,1.1,0,1.1,32,1.4375,1.625,13,8,0.3333333333,2.166666667,0,-1,0,0,0
76,Lowton,Defender,4.5,2,2.5,32,0.9375,1.0625,7,20,5,5.9,0,6,0,0,0
77,Mee,Defender,2.7,2,0.7,32,0.9375,1.0625,7,20,3.333333333,4.566666667,0,6,0,0,0
78,Ward,Defender,3.1,2,1.1,32,0.9375,1.0625,7,20,3.333333333,2.733333333,0,6,0,0,0
79,Tarkowski,Defender,3.1,2,1.1,32,0.9375,1.0625,7,20,3.666666667,2.7,0,7,0,0,0
97,Azpilicueta,Defender,1,1,0,32,0.875,1.9375,5,4,2,4.333333333,0,3,0,0,0
100,Alonso,Defender,1,1,0,32,0.875,1.9375,5,4,1.666666667,4.266666667,0,2,0,0,0
102,Moses,Defender,1.9,4,2.1,32,0.875,1.9375,5,4,2.333333333,3.933333333,0,2,0,0,0
103,Rüdiger,Defender,1.1,1,0.1,32,0.875,1.9375,5,4,1,1.9,0,1,0,0,0
120,Kelly,Defender,0.4,1,0.6,32,1.5625,2.3125,17,3,0.3333333333,2.1,0,-1,0,0,0
124,van Aanholt,Defender,2.1,1,1.1,32,1.5625,2.3125,17,3,4.666666667,4.4,0,7,0,0,0
138,Baines,Defender,4.4,1,3.4,32,1.3125,2.3125,9,1,5,4.733333333,0,2,0,0,0
139,Coleman,Defender,2.6,1,1.6,32,1.3125,2.3125,9,1,3,1.833333333,0,2,0,0,0
140,Jagielka,Defender,2.4,1,1.4,32,1.3125,2.3125,9,1,2.666666667,2.9,0,1,0,0,0
