,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
4717,127,Jagielka,2016/17,34,7,14,1.1176470588235294,1.1764705882352942,1.5882352941176472,1.9411764705882355,11.0,10.0,7,8.4,10.233333333333333
5585,150,Dawson,2016/17,34,17,10,1.8235294117647056,1.0625,0.8235294117647058,1.875,1.0,1.0,1,2.0,2.2000000000000024
5661,152,Robertson,2016/17,34,17,10,1.8235294117647056,1.0625,0.8235294117647058,1.875,1.0,2.333333333333333,5,4.2,2.633333333333334
5699,153,Maguire,2016/17,34,17,10,1.8235294117647056,1.0625,0.8235294117647058,1.875,7.0,7.666666666666668,9,5.0,8.633333333333336
6264,168,Fuchs,2016/17,34,15,6,0.8823529411764706,2.0,1.9411764705882355,1.0625,4.0,4.0,1,3.6,4.633333333333332
6301,169,Schlupp,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,4.0,4.0,2,3.0,3.9333333333333336
6412,172,Simpson,2016/17,34,15,6,0.8823529411764706,2.0,1.9411764705882355,1.0625,0.0,2.333333333333333,1,4.6,1.7333333333333318
6449,173,Huth,2016/17,34,15,6,0.8823529411764706,2.0,1.9411764705882355,1.0625,8.0,2.0,-1,3.6,3.833333333333338
6486,174,Benalouane,2016/17,34,15,6,0.8823529411764706,2.0,1.9411764705882355,1.0625,1.0,0.6666666666666666,1,2.8,1.4666666666666668
7118,191,Lovren,2016/17,34,3,12,2.4705882352941178,1.5294117647058822,0.9411764705882352,1.6470588235294117,7.0,3.333333333333333,1,2.6,3.03333333333333
7156,192,Moreno,2016/17,34,3,12,2.4705882352941178,1.5294117647058822,0.9411764705882352,1.6470588235294117,1.0,1.0,1,1.0,0.3666666666666671
7194,193,Clyne,2016/17,34,3,12,2.4705882352941178,1.5294117647058822,0.9411764705882352,1.6470588235294117,6.0,4.0,1,3.0,2.8666666666666654
7422,199,Matip,2016/17,34,3,12,2.4705882352941178,1.5294117647058822,0.9411764705882352,1.6470588235294117,8.0,3.6666666666666665,1,2.8,2.3333333333333326
8212,220,Kolarov,2016/17,34,4,5,1.8,1.8,1.2666666666666666,0.8666666666666667,2.0,6.0,7,5.2,4.966666666666665
8248,221,Zabaleta,2016/17,34,4,5,1.8,1.8,1.2666666666666666,0.8666666666666667,1.0,3.0,7,2.2,1.2666666666666664
8284,222,Kompany,2016/17,34,4,5,1.8,1.8,1.2666666666666666,0.8666666666666667,14.0,7.666666666666668,9,5.0,4.8
8428,226,Otamendi,2016/17,34,4,5,1.8,1.8,1.2666666666666666,0.8666666666666667,6.0,4.333333333333333,6,3.2,3.6666666666666634
9330,251,Darmian,2016/17,34,5,16,1.8,1.3529411764705883,0.8666666666666667,1.1176470588235294,7.0,6.333333333333332,6,4.4,1.7333333333333336
9438,254,Blind,2016/17,34,5,16,1.8,1.3529411764705883,0.8666666666666667,1.1176470588235294,1.0,3.333333333333333,8,3.4,2.399999999999999
9474,255,Bailly,2016/17,34,5,16,1.8,1.3529411764705883,0.8666666666666667,1.1176470588235294,6.0,6.0,6,6.0,2.033333333333333
10200,275,Ayala,2016/17,34,19,13,0.6470588235294118,1.9411764705882355,1.4705882352941178,1.3529411764705883,1.0,2.0,-1,1.4,4.9
10237,276,Friend,2016/17,34,19,13,0.6470588235294118,1.9411764705882355,1.4705882352941178,1.3529411764705883,1.0,0.0,-1,1.4,1.800000000000001
10311,278,Gibson,2016/17,34,19,13,0.6470588235294118,1.9411764705882355,1.4705882352941178,1.3529411764705883,1.0,3.0,0,4.0,3.8333333333333335
10974,296,Bertrand,2016/17,34,9,1,1.2941176470588236,2.125,1.4705882352941178,1.125,1.0,4.333333333333333,6,4.6,4.666666666666667
11012,297,Fonte,2016/17,34,14,7,1.1764705882352942,1.1176470588235294,1.9411764705882355,1.5882352941176472,1.0,4.0,5,2.6,3.1666666666666674
11048,298,Yoshida,2016/17,34,9,1,1.2941176470588236,2.125,1.4705882352941178,1.125,1.0,3.333333333333333,0,5.6,4.866666666666669
11156,301,Cédric,2016/17,34,9,1,1.2941176470588236,2.125,1.4705882352941178,1.125,0.0,2.6666666666666665,3,3.6,4.300000000000002
11772,318,Shawcross,2016/17,34,11,18,0.875,1.4117647058823528,2.25,1.8823529411764703,2.0,1.3333333333333333,1,1.2,2.1000000000000014
11846,320,Cameron,2016/17,34,11,18,0.875,1.4117647058823528,2.25,1.8823529411764703,2.0,1.3333333333333333,1,1.2,2.833333333333332
11883,321,Pieters,2016/17,34,11,18,0.875,1.4117647058823528,2.25,1.8823529411764703,2.0,1.3333333333333333,1,1.4,2.499999999999998
12031,325,Johnson,2016/17,34,11,18,0.875,1.4117647058823528,2.25,1.8823529411764703,2.0,1.3333333333333333,1,2.2,2.1333333333333324
12660,342,O'Shea,2016/17,34,20,19,1.125,0.6470588235294118,1.4375,1.4705882352941178,1.0,1.3333333333333333,1,2.2,3.5
12697,343,Jones,2016/17,34,20,19,1.125,0.6470588235294118,1.4375,1.4705882352941178,1.0,1.0,1,1.0,3.2666666666666657
12734,344,van Aanholt,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,1.0,2.6666666666666665,1,5.0,1.3666666666666665
13255,358,Naughton,2016/17,34,18,11,1.4117647058823528,0.875,1.8823529411764703,2.25,2.0,3.0,5,4.4,3.066666666666668
13293,359,Williams,2016/17,34,7,14,1.1176470588235294,1.1764705882352942,1.5882352941176472,1.9411764705882355,7.0,4.666666666666667,5,4.6,5.06666666666667
13445,363,Fernández,2016/17,34,18,11,1.4117647058823528,0.875,1.8823529411764703,2.25,2.0,3.0,6,3.2,3.6333333333333337
13521,365,Kingsley,2016/17,34,18,11,1.4117647058823528,0.875,1.8823529411764703,2.25,1.0,2.333333333333333,6,1.6,2.5333333333333337
13559,366,van der Hoorn,2016/17,34,18,11,1.4117647058823528,0.875,1.8823529411764703,2.25,0.0,0.3333333333333333,1,1.8,2.1999999999999997
14164,382,Alderweireld,2016/17,34,2,12,1.625,1.5294117647058822,0.9375,1.6470588235294117,6.0,6.0,6,5.4,2.3333333333333326
14238,384,Walker,2016/17,34,2,12,1.625,1.5294117647058822,0.9375,1.6470588235294117,6.0,4.333333333333333,5,3.0,4.133333333333333
14275,385,Vertonghen,2016/17,34,2,12,1.625,1.5294117647058822,0.9375,1.6470588235294117,7.0,6.666666666666668,7,5.8,3.3666666666666663
14312,386,Davies,2016/17,34,2,12,1.625,1.5294117647058822,0.9375,1.6470588235294117,6.0,7.0,9,5.8,5.433333333333335
