,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
17724,478,Negredo,2016/17,13,15,14,1.1428571428571428,1.5714285714285714,1.0,1.0,2.0,5.333333333333333,12,4.6,5.7666666666666675
18536,500,Llorente,2016/17,13,19,17,1.4285714285714286,1.8571428571428568,2.2857142857142856,2.0,1.0,6.0,15,5.2,9.000000000000002
19834,535,Fletcher,2016/17,13,16,6,0.8571428571428571,1.4285714285714286,1.8571428571428568,0.8571428571428571,1.0,1.0,1,1.0,2.2
20430,552,Okaka,2016/17,13,8,11,1.0,1.0,2.0,1.7142857142857142,1.0,0.6666666666666666,1,0.0,1.3333333333333333
20944,567,Slimani,2016/17,13,14,15,1.5714285714285714,1.1428571428571428,1.0,1.0,7.0,5.666666666666668,5,4.0,6.9
21013,569,Mbokani,2016/17,13,18,9,1.0,0.8571428571428571,2.0,1.8571428571428568,2.0,3.0,5,3.0,5.933333333333334
21082,571,Robson-Kanu,2016/17,13,9,18,0.8571428571428571,1.0,1.8571428571428568,2.0,1.0,1.0,1,1.6,0.2333333333333339
21219,575,Anichebe,2016/17,13,20,2,1.0,3.1666666666666665,2.0,0.16666666666666666,13.0,8.333333333333334,2,5.4,8.8
1783,49,Callum Wilson,2016/17,14,10,3,2.2857142857142856,2.0,1.2857142857142858,1.75,6.0,4.666666666666667,6,3.4,4.866666666666666
1897,52,Afobe,2016/17,14,10,3,2.2857142857142856,2.0,1.2857142857142858,1.75,1.0,2.0,4,1.6,4.366666666666668
2467,67,Vokes,2016/17,14,15,9,0.16666666666666666,1.2857142857142858,1.0,1.7142857142857142,2.0,1.6666666666666667,1,3.6,1.9666666666666677
2505,68,Gray,2016/17,14,15,9,0.16666666666666666,1.2857142857142858,1.0,1.7142857142857142,1.0,1.3333333333333333,2,1.6,3.3333333333333326
2581,70,Barnes,2016/17,14,15,9,0.16666666666666666,1.2857142857142858,1.0,1.7142857142857142,1.0,1.0,1,2.0,4.333333333333334
3546,96,Batshuayi,2016/17,14,1,4,2.0,1.8571428571428568,1.1428571428571428,1.1428571428571428,1.0,1.0,1,1.0,0.5666666666666672
3583,97,Costa,2016/17,14,1,4,2.0,1.8571428571428568,1.1428571428571428,1.1428571428571428,5.0,8.666666666666666,12,8.4,11.533333333333333
