,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
16633,2,8,2,1.2727272727272727,1.2727272727272727,5.0,2.6666666666666665,2.2,4.100000000000001,2,2.0,0.0
7278,1,8,1,1.0,0.6,7.0,3.333333333333333,2.8,5.333333333333333,1,1.9,0.8999999999999999
6068,2,18,5,1.6666666666666667,1.5384615384615383,1.0,1.6666666666666667,3.8,2.5,2,2.0,0.0
355,1,5,4,2.25,2.5,1.0,1.0,1.0,1.9666666666666663,1,2.7,1.7000000000000002
3774,2,1,20,3.4615384615384617,1.4615384615384617,17.0,9.333333333333334,7.0,16.333333333333332,6,8.5,2.5
751,2,14,9,1.2727272727272727,1.7272727272727273,1.0,1.3333333333333333,1.2,0.26666666666666666,1,1.9,0.8999999999999999
4502,1,9,15,1.25,3.0,1.0,1.3333333333333333,1.6,2.0333333333333328,1,3.4,2.4
5840,2,5,2,2.25,1.5384615384615383,8.0,7.666666666666668,8.2,14.566666666666665,2,8.2,6.199999999999999
1396,1,7,19,0.6666666666666666,0.8333333333333334,1.0,3.333333333333333,2.4,5.966666666666666,7,5.1,1.9000000000000004
22611,2,16,10,1.0909090909090908,2.0,1.0,0.0,0.0,0.0,1,0.1,0.9
20473,2,16,10,1.0909090909090908,2.0,1.0,1.0,1.0,0.06666666666666668,1,1.5,0.5
14934,2,2,15,2.1666666666666665,1.1666666666666667,2.0,4.333333333333333,6.4,5.999999999999999,6,6.7,0.7000000000000002
2374,2,9,14,0.7272727272727273,1.5454545454545454,2.0,1.3333333333333333,2.2,1.6333333333333322,1,1.8,0.8
17720,1,17,2,1.0,1.8,2.0,1.6666666666666667,1.6,7.066666666666666,2,1.5,0.5
4158,1,1,15,0.0,3.0,6.0,6.333333333333332,0.0,13.333333333333336,0,8.1,8.1
6387,3,20,14,1.0714285714285714,2.0,2.0,1.6666666666666667,3.2,1.233333333333334,2,1.7,0.30000000000000004
10075,2,6,18,1.5555555555555556,1.7777777777777777,12.0,12.666666666666664,9.4,15.866666666666667,15,14.2,0.8000000000000007
5070,1,17,1,1.0,0.75,9.0,6.666666666666668,5.4,6.933333333333333,9,5.2,3.8
13088,2,18,12,1.3333333333333333,0.7777777777777778,1.0,1.6666666666666667,0.0,1.7666666666666668,2,1.7,0.30000000000000004
934,3,6,15,2.0,1.9411764705882355,1.0,1.3333333333333333,1.6,2.6666666666666674,1,2.7,1.7000000000000002
3109,2,8,10,1.7,2.1,1.0,1.3333333333333333,4.8,1.6333333333333329,2,2.8,0.7999999999999998
11582,3,10,13,1.2142857142857142,0.7857142857142857,5.0,2.333333333333333,3.6,3.5666666666666664,1,1.5,0.5
15733,1,9,19,1.4,1.8,2.0,4.333333333333333,4.2,6.766666666666665,2,6.7,4.7
7009,1,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2,1.2
7506,2,19,17,0.625,1.25,6.0,5.666666666666668,3.8,6.5,9,5.5,3.5
3572,1,2,13,0.5,1.0,5.0,5.0,0.0,10.233333333333333,5,5.7,0.7000000000000002
17334,1,17,3,2.0,3.0,0.0,0.0,0.0,0.0,2,1.1,0.8999999999999999
6655,1,15,18,1.6666666666666667,0.25,1.0,1.3333333333333333,0.0,4.533333333333333,1,1.7,0.7
8951,2,4,1,1.8571428571428568,1.1428571428571428,1.0,3.333333333333333,2.4,4.433333333333332,1,4.7,3.7
5361,3,7,5,1.0526315789473684,1.0,1.0,1.0,1.0,0.10000000000000013,1,1.0,0.0
5448,2,20,15,0.6666666666666666,1.1666666666666667,2.0,5.666666666666668,5.4,8.06666666666667,8,6.8,1.2000000000000002
890,2,4,1,2.333333333333333,1.0,1.0,3.0,5.8,4.466666666666667,6,4.4,1.5999999999999996
4430,1,14,8,1.0,1.4285714285714286,1.0,1.3333333333333333,2.8,2.133333333333334,1,1.9,0.8999999999999999
2378,3,10,6,0.6923076923076923,1.0769230769230769,1.0,2.333333333333333,1.8,2.566666666666665,5,2.6,2.4
4142,1,2,11,2.5,1.5,2.0,3.0,3.4,3.733333333333333,5,5.2,0.20000000000000018
10078,2,6,3,1.5454545454545454,1.5,8.0,6.666666666666668,9.4,10.966666666666667,7,6.8,0.20000000000000018
349,1,12,14,2.0,0.0,5.0,0.0,0.0,0.0,1,-1.5,2.5
6376,2,17,5,0.4444444444444444,0.3333333333333333,2.0,1.6666666666666667,1.8,7.300000000000002,1,0.4,0.6
3553,2,1,15,1.181818181818182,1.4545454545454546,1.0,1.0,1.0,5.181040781584063e-16,1,2.4,1.4
2698,2,7,12,0.6666666666666666,1.5,1.0,1.0,0.0,0.7666666666666666,1,1.7,0.7
4151,2,3,13,1.181818181818182,1.5,2.0,1.6666666666666667,2.0,7.166666666666668,2,2.6,0.6000000000000001
3792,1,4,18,2.0,2.0,1.0,3.6666666666666665,0.0,6.333333333333332,9,6.6,2.4000000000000004
3077,2,8,2,1.3,1.0,2.0,5.0,3.8,6.199999999999998,8,6.1,1.9000000000000004
13119,1,20,13,1.1666666666666667,1.0,7.0,7.0,5.0,6.966666666666668,12,7.0,5.0
725,3,10,17,0.9285714285714286,1.4285714285714286,2.0,5.333333333333333,6.0,6.466666666666666,2,7.1,5.1
13134,3,20,7,1.3846153846153846,2.1538461538461537,2.0,5.666666666666668,4.2,5.7333333333333325,2,6.9,4.9
363,2,4,19,1.6153846153846154,1.3846153846153846,1.0,1.3333333333333333,2.4,4.066666666666665,1,2.9,1.9
