,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error
18742,3,14,7,1.1176470588235294,1.9411764705882355,1.0,6.333333333333332,2.0999999999999988,9,9.1,0.09999999999999964
1998,1,18,6,1.0,1.0,0.0,0.0,0.0,1,1.3,0.30000000000000004
3915,2,14,12,1.7142857142857142,2.2857142857142856,0.0,0.6666666666666666,1.300000000000001,1,2.3,1.2999999999999998
5516,1,5,3,2.0,0.5,12.0,5.0,7.2333333333333325,2,2.0,0.0
6158,1,9,14,1.5,1.5,0.0,0.0,0.0,1,2.1,1.1
3566,3,1,7,1.4615384615384617,0.7692307692307693,6.0,3.333333333333333,2.6999999999999957,2,3.2,1.2000000000000002
16824,2,11,5,2.1666666666666665,2.1666666666666665,2.0,2.6666666666666665,2.5333333333333328,0,3.1,3.1
5550,1,3,9,1.6,0.8,5.0,5.333333333333333,3.7333333333333343,5,6.5,1.5
15215,1,9,19,0.8,1.8,15.0,9.0,6.233333333333333,6,8.5,2.5
8189,1,1,8,1.4,0.6,-1.0,0.3333333333333333,3.2333333333333343,1,2.2,1.2000000000000002
901,1,14,5,2.75,1.5,0.0,0.0,0.0,1,0.5,0.5
9227,1,18,6,0.0,2.0,-1.0,0.0,0.0,0,2.0,2.0
2895,2,8,11,1.2,1.5555555555555556,1.0,5.333333333333333,4.833333333333332,7,8.1,1.0999999999999996
2514,1,6,18,2.0,1.0,6.0,4.0,3.0333333333333337,0,5.2,5.2
7416,2,5,9,0.6666666666666666,0.7272727272727273,1.0,6.0,5.066666666666666,9,9.2,0.1999999999999993
20777,2,11,15,0.8888888888888888,1.6666666666666667,6.0,2.6666666666666665,2.0666666666666678,1,3.3,2.3
6458,3,12,13,1.1538461538461535,2.1538461538461537,2.0,1.3333333333333333,4.833333333333333,0,2.3,2.3
13352,2,19,14,1.2222222222222223,2.333333333333333,1.0,2.6666666666666665,3.0000000000000013,1,4.7,3.7
6482,3,13,9,1.0,1.4,1.0,0.0,0.0,6,1.1,4.9
3916,2,15,19,1.125,2.0,1.0,0.6666666666666666,1.8666666666666676,1,2.9,1.9
7424,3,3,10,1.2222222222222223,0.8888888888888888,8.0,5.666666666666668,3.9666666666666655,8,5.9,2.0999999999999996
4869,1,14,11,0.0,0.0,2.0,0.0,0.0,6,1.7,4.3
530,2,16,12,1.0909090909090908,1.5454545454545454,6.0,4.333333333333333,7.099999999999999,6,4.5,1.5
18502,2,20,1,1.875,0.75,1.0,1.3333333333333333,5.166666666666666,2,1.1,0.8999999999999999
9430,2,6,16,1.3333333333333333,1.0,8.0,3.6666666666666665,5.599999999999999,1,3.6,2.6
