,round,team_rank,opponent_team_rank,opp_pot,save_form,concede_pot,prev_points,form_points,total_points,Predicted,Prediction_Error
1439,3,5,2,2.5,2.6666666666666665,1.0714285714285714,6.0,3.0,2,1.5,0.5
58,2,3,13,1.4166666666666667,4.333333333333333,1.25,4.0,4.333333333333333,2,4.5,2.5
5106,1,13,19,0.0,3.0,0.0,1.0,4.666666666666667,7,7.7,0.7000000000000002
2423,1,11,1,2.5714285714285716,2.333333333333333,1.1428571428571428,0.0,3.333333333333333,2,3.6,1.6
51,2,3,8,1.375,2.6666666666666665,1.125,3.0,2.0,1,2.0,1.0
20491,1,14,4,4.5,0.0,2.0,0.0,0.0,2,0.4,1.6
5128,2,19,6,1.1538461538461535,3.333333333333333,1.3846153846153846,8.0,4.666666666666667,3,3.6,0.6000000000000001
14095,1,12,8,0.0,0.0,0.0,0.0,0.0,1,2.1,1.1
13176,3,18,2,1.6666666666666667,3.6666666666666665,2.0,6.0,3.333333333333333,2,1.8,0.19999999999999996
20040,1,1,17,1.0,0.0,0.3333333333333333,2.0,0.0,6,2.1,3.9
5846,1,4,16,0.0,0.0,0.0,1.0,0.0,7,2.6,4.4
20051,2,4,11,1.5,1.6666666666666667,1.25,0.0,2.333333333333333,6,3.9,2.1
803,1,14,5,2.75,4.0,1.5,9.0,4.333333333333333,3,2.1,0.8999999999999999
3511,2,1,15,1.0,3.0,0.75,1.0,2.333333333333333,3,3.9,0.8999999999999999
1976,2,16,5,2.1111111111111107,5.0,1.0,12.0,5.333333333333333,3,2.4,0.6000000000000001
817,2,12,16,0.8181818181818182,2.6666666666666665,1.181818181818182,2.0,4.666666666666667,6,6.7,0.7000000000000002
16708,2,12,17,1.5454545454545454,3.0,2.0,2.0,3.6666666666666665,6,5.2,0.7999999999999998
3505,2,1,7,1.6666666666666667,2.6666666666666665,0.7777777777777778,7.0,4.0,2,3.1,1.1
4460,1,7,20,1.0,0.0,1.0,6.0,0.0,3,1.3,1.7
6127,1,12,10,1.5,4.666666666666667,0.5,2.0,4.0,9,4.6,4.4
6143,2,16,10,1.6153846153846154,2.0,1.8333333333333333,2.0,1.6666666666666667,2,2.4,0.3999999999999999
5478,1,9,10,0.5,1.6666666666666667,1.5,1.0,3.333333333333333,2,4.8,2.8
1789,2,13,12,1.1666666666666667,3.333333333333333,1.5384615384615383,2.0,4.0,2,5.1,3.0999999999999996
3713,3,12,3,2.4705882352941178,1.0,1.6470588235294117,1.0,3.333333333333333,2,4.1,2.0999999999999996
11632,1,20,5,2.5,4.666666666666667,4.0,10.0,3.6666666666666665,1,0.3,0.7
7006,3,3,13,1.3888888888888888,1.6666666666666667,1.3888888888888888,1.0,5.0,7,7.1,0.09999999999999964
5130,3,16,7,0.6428571428571429,2.333333333333333,1.2857142857142858,3.0,4.0,6,4.8,1.2000000000000002
15911,1,9,5,2.0,0.0,0.0,10.0,0.0,2,-1.6,3.6
1437,3,4,11,1.5384615384615383,2.333333333333333,1.0,1.0,2.6666666666666665,1,4.0,3.0
6804,3,7,1,2.230769230769231,3.333333333333333,1.3076923076923077,11.0,6.0,5,3.3,1.7000000000000002
5469,3,17,4,1.9285714285714288,3.6666666666666665,2.0,1.0,2.333333333333333,3,2.2,0.7999999999999998
13221,3,15,10,0.7058823529411765,0.0,1.7368421052631582,0.0,0.0,3,1.9,1.1
6132,2,19,16,0.4166666666666667,2.6666666666666665,1.25,2.0,4.0,7,6.2,0.7999999999999998
60,2,4,18,1.0,3.6666666666666665,1.1538461538461535,2.0,3.6666666666666665,7,5.3,1.7000000000000002
16652,1,12,1,2.5,4.0,1.0,9.0,4.333333333333333,2,1.7,0.30000000000000004
1039,3,11,17,1.0,4.0,1.3333333333333333,2.0,6.666666666666668,6,8.8,2.8000000000000007
7018,1,3,13,0.6,1.0,0.25,6.0,3.333333333333333,2,4.2,2.2
15062,1,10,17,1.5,2.6666666666666665,2.5,2.0,1.3333333333333333,1,2.3,1.2999999999999998
3823,2,2,1,2.5,6.666666666666668,1.625,8.0,3.6666666666666665,2,0.0,2.0
2716,3,1,19,0.6111111111111112,2.0,1.0588235294117647,7.0,4.666666666666667,6,5.7,0.2999999999999998
3697,2,17,1,1.7777777777777777,4.0,2.1111111111111107,2.0,2.333333333333333,3,1.4,1.6
8999,3,6,14,1.2857142857142858,1.3333333333333333,0.7857142857142857,7.0,4.666666666666667,2,5.4,3.4000000000000004
6995,2,5,18,1.6666666666666667,1.0,1.5384615384615383,8.0,3.333333333333333,1,3.8,2.8
813,2,13,4,1.7777777777777777,3.6666666666666665,1.2222222222222223,2.0,1.3333333333333333,2,0.8,1.2
2090,2,10,4,1.75,2.6666666666666665,2.125,9.0,8.0,2,6.7,4.7
13168,2,17,12,1.3333333333333333,2.6666666666666665,2.25,2.0,1.6666666666666667,2,2.4,0.3999999999999999
