player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
331,Arnautovic,2016/17,2,17,1,1,4,4,1,1,0,2,0,0
334,Imbula,2016/17,2,17,1,1,4,4,1,3,0,2,0,0
335,Bojan,2016/17,2,17,1,1,4,4,1,2,0,6,0,0
350,Rodwell,2016/17,2,18,6,2,0,2,0,6,0,2,0,0
351,Lens,2016/17,2,18,6,2,0,2,0,0,0,1,0,0
353,Watmore,2016/17,2,18,6,2,0,2,0,2,0,5,0,0
367,Cork,2016/17,2,12,3,0,2,2,2,3,0,2,0,0
368,Sigurdsson,2016/17,2,12,3,0,2,2,2,1,0,2,0,0
369,Routledge,2016/17,2,12,3,0,2,2,2,3,0,1,0,0
372,Ki Sung-yueng,2016/17,2,12,3,0,2,2,2,0,0,1,0,0
373,Montero,2016/17,2,12,3,0,2,2,2,1,0,1,0,0
375,Fer,2016/17,2,12,3,0,2,2,2,11,0,3,0,0
376,Dyer,2016/17,2,12,3,0,2,2,2,0,0,1,0,0
390,Dier,2016/17,2,7,19,1,0,0,1,1,0,2,0,0
393,Lamela,2016/17,2,7,19,1,0,0,1,9,0,3,0,0
394,Eriksen,2016/17,2,7,19,1,0,0,1,2,0,3,0,0
397,Carroll,2016/17,2,12,19,0,0,2,1,0,0,1,0,0
398,Alli,2016/17,2,7,19,1,0,0,1,2,0,1,0,0
399,Onomah,2016/17,2,7,19,1,0,0,1,0,0,1,0,0
400,Wanyama,2016/17,2,7,19,1,0,0,1,2,0,11,0,0
415,Guédioura,2016/17,2,6,4,0,0,0,2,1,0,5,0,0
416,Capoue,2016/17,2,14,4,2,0,2,2,10,0,9,0,0
420,Behrami,2016/17,2,14,4,2,0,2,2,2,0,1,0,0
422,Amrabat,2016/17,2,14,4,2,0,2,2,2,0,5,0,0
439,Fletcher,2016/17,2,9,5,2,2,0,1,3,0,2,0,0
440,Gardner,2016/17,2,9,5,2,2,0,1,3,0,5,0,0
442,Yacob,2016/17,2,9,5,2,2,0,1,3,0,2,0,0
444,McClean,2016/17,2,9,5,2,2,0,1,4,0,1,0,0
445,Leko,2016/17,2,9,5,2,2,0,1,0,0,1,0,0
446,Phillips,2016/17,2,9,5,2,2,0,1,3,0,2,0,0
458,Noble,2016/17,2,10,20,2,0,0,0,2,0,3,0,0
459,Kouyaté,2016/17,2,10,20,2,0,0,0,2,0,3,0,0
460,Obiang,2016/17,2,10,20,2,0,0,0,0,0,0,0,0
464,Antonio,2016/17,2,10,20,2,0,0,0,0,0,11,0,0
465,Nordtveit,2016/17,2,10,20,2,0,0,0,2,0,3,0,0
467,Töre,2016/17,2,10,20,2,0,0,0,1,0,6,0,0
473,Gudmundsson,2016/17,2,8,11,1,2,0.5,2.5,1,0,1,0,0
475,Grujic,2016/17,2,11,8,2,1,2.5,0.5,0,0,1,0,0
482,Doucouré,2016/17,2,14,4,2,0,2,2,0,0,1,0,0
485,Wijnaldum,2016/17,2,11,8,2,1,2.5,0.5,5,0,2,0,0
486,Sobhi,2016/17,2,17,1,1,4,4,1,0,0,1,0,0
488,Gueye,2016/17,2,5,9,2,2,1,0,2,0,2,0,0
491,Ramírez,2016/17,2,6,18,0,2,0,2,4,0,1,0,0
