,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
20728,37,15,10,0.6842105263157895,1.368421052631579,2.0,2.333333333333333,2.0,2.299999999999999,2,46317509.6,46317507.6
10755,34,19,13,0.6470588235294118,1.3529411764705883,2.0,3.333333333333333,3.6,4.099999999999998,1,64045557.6,64045556.6
2975,12,3,17,2.333333333333333,1.6666666666666667,1.0,1.0,0.0,0.6666666666666666,1,19962976.9,19962975.9
7549,10,3,13,2.1666666666666665,2.2,10.0,7.0,7.4,14.1,8,36468265.6,36468257.6
2275,5,18,2,0.3333333333333333,1.6666666666666667,2.0,1.0,0.0,1.466666666666666,2,-22887363.4,22887365.4
21111,8,3,12,2.0,3.0,3.0,2.6666666666666665,2.2,3.333333333333334,3,11750561.8,11750558.8
609,33,16,2,1.1764705882352942,1.0588235294117647,2.0,1.6666666666666667,1.4,2.1666666666666674,1,35705159.0,35705158.0
22677,37,17,20,0.9473684210526316,0.9473684210526316,1.0,1.0,1.4,1.5000000000000002,1,79228886.9,79228885.9
7888,7,4,17,1.8,2.0,7.0,3.6666666666666665,4.8,9.9,2,23321491.1,23321489.1
10696,11,15,3,1.0,0.6666666666666666,1.0,2.0,1.6,1.5666666666666664,1,-16538550.9,16538551.9
7404,25,11,16,1.3076923076923077,1.5384615384615383,2.0,1.6666666666666667,3.8,2.733333333333332,1,44590173.4,44590172.4
3591,10,1,15,2.8,1.2,15.0,8.333333333333334,9.4,11.466666666666667,7,50936775.4,50936768.4
2292,26,10,6,0.6923076923076923,1.0769230769230769,1.0,1.3333333333333333,1.4,1.466666666666666,2,-8086394.6,8086396.6
2984,1,13,5,3.0,3.0,0.0,0.0,0.0,0.0,1,44630857.7,44630856.7
6055,5,11,1,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,1,-51607746.9,51607747.9
4086,26,2,19,2.5384615384615383,2.0769230769230766,2.0,4.333333333333333,7.2,6.533333333333336,1,60215694.5,60215693.5
493,25,4,18,2.0,1.6923076923076923,2.0,2.333333333333333,3.8,8.799999999999992,3,46765127.3,46765124.3
7561,22,4,17,2.8,2.1818181818181817,1.0,1.0,3.2,2.8666666666666654,1,62221376.3,62221375.3
6255,5,10,17,0.6666666666666666,2.5,1.0,1.3333333333333333,0.0,2.766666666666667,0,-2414703.8,2414703.8
